Partner Name,Year,Export (US$ Thousand),Import (US$ Thousand),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),Continente,Intervalo,Share_Cafe,Share_Banano,Share_Cardamomo,Share_Azucar,Share_Textiles,Share_Hortalizas,Share_Pescado,Share_Lacteos,Share_Carne,Share_Plasticos,Arancel_Ajustado,Share_Total_Ponderado,Demanda_Ajustada,Revealed Comparative Advantage,MFN SpecificDuty Imports (log),TLC_Con_GT,Arancel_Especifico_GT,Mercado_Atractivo
Brunei,1988,198481.32,1523443.35,4.846360655737705,7.1,1.51,24.01,24.01,68.3,6.19,1.49,132.01,0.0,458816.65,461928.0,1086184.91,14.78,9.86,7597.0,74.45,17.22,39.7,27.85,3000.0,464898.05,1548112.91,0.0,Asia,1988-1990,2.251325940041315e-05,1.801060752033052e-05,9.00530376016526e-05,2.7015911280495777e-05,8.104773384148733e-05,1.3507955640247889e-05,5.4031822560991554e-05,9.00530376016526e-06,1.801060752033052e-05,6.753977820123944e-05,198.015,3.836259401830401e-05,0.29366248145082047,0,13.049575564226384,0,158.41199999999998,0
Bhutan,1988,6607.45,63.31,4.846360655737705,5.27,4.9,20.62,20.62,79.38,0.0,0.0,50.0,0.0,0.0,118.42,288.0,16.25,13.21,826.0,65.13,19.25,88.66,44.33,199.1,221.69,406.42,0.0,Asia,1988-1990,9.35587432667028e-10,7.484699461336224e-10,3.742349730668112e-09,1.1227049192004332e-09,3.3681147576013003e-09,5.613524596002166e-10,2.245409838400867e-09,3.742349730668112e-10,7.484699461336224e-10,2.8067622980010836e-09,75.0,1.5942409852646155e-09,1.3280446944355632e-09,0,5.405780669797565,0,60.0,0
Central African Republic,1988,20345.41,8310.05,4.154359526372444,2.58,0.45,5.46,5.46,89.58,2.98,1.99,1296.17,0.0,4797.12,8016.26,92494.89,12.76,12.7,4997.0,74.9,17.75,64.76,26.3,1296.17,44965.25,100511.15,0.0,África,1988-1990,4.912196079503797e-08,2.4560980397518985e-08,2.456098039751898e-09,4.912196079503797e-08,2.4560980397518984e-07,2.4560980397518985e-08,2.9473176477022782e-08,4.912196079503797e-09,7.368294119255695e-09,3.6841470596278473e-07,1944.255,5.5704303541573075e-08,2.3796651217740055e-07,0,10.713667487361752,0,1555.404,0
Canada,1988,12211696.04,13379048.71,3.7175375,8.94,5.04,66.82,66.82,20.24,9.27,3.67,3000.0,0.0,6312575.69,19930502.31,1368595.39,14.32,7.61,69969.0,67.95,19.62,18.9,17.2,3000.0,7746249.47,21299097.7,0.0,América,1988-1990,0.0003163423113976,0.0004745134670964,7.908557784941408e-05,0.000395427889247,0.0005931418338706,0.0002767995224729,0.0001977139446235,0.0002372567335482,0.0003558851003223,0.000395427889247,4500.0,0.0003483719704266,1.0355222309567123,0,15.862719473932971,0,3600.0,0
Switzerland,1988,23739550.61,17088873.08,3.511804733727811,8.86,7.48,55.62,55.62,31.45,9.2,3.72,3000.0,0.0,9544791.28,37032968.67,1658990.14,13.97,11.44,82928.0,67.42,19.84,14.89,13.43,3000.0,12327027.69,38691958.81,0.0,Europa,1988-1990,0.000757611825561,0.0004040596402992,5.050745503740289e-05,0.000252537275187,0.0006060894604488,0.0002020298201496,0.000505074550374,0.0003535521852618,0.0003030447302244,0.0006060894604488,4500.0,0.0004581026171892,1.7392707137885055,0,16.32730486394232,0,3600.0,0
Chile,1988,987036.13,2117305.65,3.7175375,3.65,3.74,33.74,33.74,57.37,6.63,2.26,100.0,0.0,148069.96,3631311.09,598957.95,14.42,6.62,20444.0,68.19,19.36,36.23,37.5,3000.0,578745.31,4230269.04,0.0,América,1988-1990,5.006285407688878e-05,7.509428111533316e-05,1.2515713519222194e-05,6.257856759611098e-05,9.386785139416645e-05,4.380499731727768e-05,3.128928379805549e-05,3.754714055766658e-05,5.632071083649987e-05,6.257856759611098e-05,150.0,5.513171805217376e-05,0.7730509809673808,0,13.26861950855232,0,120.0,0
China,1988,13575267.56,14251274.37,4.846360655737705,8.72,11.6,40.45,40.45,48.96,4.57,6.03,3000.0,0.0,18515824.72,69000845.88,2760278.01,13.94,18.48,78322.0,67.57,19.67,19.62,18.19,3000.0,40955646.97,71761123.89,0.0,Asia,1988-1990,0.0002106035886915,0.0001684828709532,0.0008424143547661,0.0002527243064298,0.0007581729192895,0.0001263621532149,0.0005054486128597,8.4241435476618e-05,0.0001684828709532,0.0006318107660746,4500.0,0.0003588685151303,1.136266090174717,0,17.528000282318096,0,3600.0,0
Cote d'Ivoire,1988,208122.47,463490.14,4.154359526372444,3.25,5.39,20.9,20.9,70.02,8.54,0.54,256.64,0.0,561832.79,1539879.69,422782.25,14.0,12.72,16454.0,68.47,19.09,54.93,45.02,1296.17,1025454.19,1962661.93,0.0,África,1988-1990,2.7397602283941326e-06,1.3698801141970663e-06,1.3698801141970662e-07,2.7397602283941326e-06,1.3698801141970663e-05,1.3698801141970663e-06,1.6438561370364797e-06,2.7397602283941324e-07,4.1096403425911997e-07,2.0548201712955997e-05,384.96,3.1068880989989467e-06,0.0037309876670363657,0,13.840647159781716,0,307.96799999999996,0
Cameroon,1988,167900.07,209905.15,4.154359526372444,1.97,3.23,21.37,21.37,73.88,4.76,0.0,100.0,0.0,267498.68,1222126.2,131286.84,13.39,7.92,12549.0,72.13,18.47,45.41,31.47,3000.0,937654.91,1353413.04,0.0,África,1988-1990,1.2407810481256509e-06,6.203905240628254e-07,6.203905240628255e-08,1.2407810481256509e-06,6.203905240628254e-06,6.203905240628254e-07,7.444686288753905e-07,1.240781048125651e-07,1.8611715721884762e-07,9.30585786094238e-06,150.0,1.407045708574488e-06,0.001955934705398571,0,13.751138326999726,0,120.0,0
"Congo, Rep.",1988,39611.91,123629.56,4.154359526372444,3.25,2.65,10.71,10.71,88.67,0.62,0.0,50.0,0.0,8632.0,346401.48,168287.03,12.18,7.96,8137.0,72.24,19.53,54.3,29.14,2029.66,325426.04,514688.51,0.0,África,1988-1990,7.307930035833472e-07,3.653965017916736e-07,3.653965017916736e-08,7.307930035833472e-07,3.653965017916736e-06,3.653965017916736e-07,4.384758021500084e-07,7.307930035833471e-08,1.096189505375021e-07,5.480947526875104e-06,75.0,8.287192660635158e-07,0.0013480815556178342,0,12.692893568040526,0,60.0,0
